sku,_attribute_set,_type,_category,_product_websites,color,created_at,c_rozmiar,description,has_options,name,options_container,price,required_options,short_description,status,tax_class_id,updated_at,url_key,url_path,visibility,weight,qty,use_config_min_qty,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,use_config_enable_qty_inc,_super_products_sku,_super_attribute_code,_super_attribute_option,image
18560,Default,configurable,,base,"зеленый в бутылках",,S,"Нежное, длинное платье с пайетками, типа русалка.",1,"SOKY SOKA ПЛАТЬЕ зеленый в бутылках 63002-2",,229.00,,"Нежное, длинное платье с пайетками, типа русалка.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/37bace54e4439349d6fe15202479b3a7.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18559,Default,configurable,,base,черный,,S,"Нежное, длинное платье с пайетками, типа русалка.",1,"SOKY SOKA ПЛАТЬЕ черный 63002-1",,229.00,,"Нежное, длинное платье с пайетками, типа русалка.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/de9699b8aff240a6759415d6455a3e66.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18558,Default,configurable,,base,"бежевый/зеленый в бутылках",,S,"Нежное, длинное платье с пайетками, типа русалка.",1,"SOKY SOKA ПЛАТЬЕ бежевый/зеленый в бутылках 63001-3",,219.00,,"Нежное, длинное платье с пайетками, типа русалка.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/5f2aa40e22e9adb140b2b3f368970b8e.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18557,Default,configurable,,base,"черный/зеленый в бутылках",,S,"Нежное, длинное платье с пайетками, типа русалка.",1,"SOKY SOKA ПЛАТЬЕ черный/зеленый в бутылках 63001-2",,219.00,,"Нежное, длинное платье с пайетками, типа русалка.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/bfd7b84aef905382740ba428e8e1a6f0.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18556,Default,configurable,,base,черный/золото,,S,"Нежное, длинное платье с пайетками, типа русалка.",1,"SOKY SOKA ПЛАТЬЕ черный/золото 63001-1",,219.00,,"Нежное, длинное платье с пайетками, типа русалка.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/5224bb5278304ca72824868af2cc1444.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18555,Default,configurable,,base,черный/золото,,S,"Нежное, длинное тюлевое платье.",1,"SOKY SOKA ПЛАТЬЕ черный/золото 62004-3",,209.00,,"Нежное, длинное тюлевое платье.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/e408045883a9f24f77ca85c0af5e7e0e.jpg
,,,,,,,M,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
18554,Default,configurable,,base,черный,,S,"Длинное платье, вечер.",1,"SOKY SOKA ПЛАТЬЕ черный 600011-3",,179.00,,"Длинное платье, вечер.",1,0,,,,4,,1,1,1,1,1,1,0,1,1,1,1,,,,/389891347243327b3756fcd24f20e370.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,XL,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
18553,Default,configurable,,base,золото,,S,"Узкое платье для длинных рукавов.",1,"SOKY SOKA ПЛАТЬЕ золото 62012-2",,128.00,,"Узкое платье для длинных рукавов.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/a11589074a698ba0f16733395668df89.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18551,Default,configurable,,base,серебро,,S,"Приспособленное серебряное платье.",1,"SOKY SOKA ПЛАТЬЕ серебро 62011-1",,149.00,,"Приспособленное серебряное платье.",1,0,,,,4,,0,1,1,1,1,1,0,1,1,1,1,,,,/be381e5863869f706635991444530c36.jpg
,,,,,,,M,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,L,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
